Date,Exchange rate
2017-05-16,1.10933
2017-05-17,1.11541
2017-05-18,1.11101
2017-05-19,1.12065
2017-05-21,1.12032
2017-05-22,1.12373
2017-05-23,1.11788
2017-05-24,1.12304
2017-05-25,1.121
2017-05-26,1.11799
2017-05-28,1.1176
2017-05-29,1.1129
2017-05-30,1.11728
2017-05-31,1.1239
2017-06-01,1.12128
2017-06-02,1.12825
2017-06-04,1.12772
2017-06-05,1.12573
2017-06-06,1.12702
2017-06-07,1.12554
2017-06-08,1.11883
2017-06-09,1.11941
2017-06-11,1.12016
2017-06-12,1.11973
2017-06-13,1.12091
2017-06-14,1.12129
2017-06-15,1.11486
2017-06-16,1.11968
2017-06-18,1.12039
2017-06-19,1.11445
2017-06-20,1.11363
2017-06-21,1.11667
2017-06-22,1.11497
2017-06-23,1.11918
2017-06-25,1.11997
2017-06-26,1.11828
2017-06-27,1.13369
2017-06-28,1.13782
2017-06-29,1.14394
2017-06-30,1.14251
2017-07-02,1.14232
2017-07-03,1.13723
2017-07-04,1.13595
2017-07-05,1.13464
2017-07-06,1.14212
2017-07-07,1.13996
2017-07-09,1.14034
2017-07-10,1.13963
2017-07-11,1.14738
2017-07-12,1.14186
2017-07-13,1.14045
2017-07-14,1.14685
2017-07-16,1.1474
2017-07-17,1.14732
2017-07-18,1.15478
2017-07-19,1.15287
2017-07-20,1.16283
2017-07-21,1.16622
2017-07-23,1.16814
2017-07-24,1.16384
2017-07-25,1.16444
2017-07-26,1.17316
2017-07-27,1.16898
2017-07-28,1.17478
2017-07-30,1.17468
2017-07-31,1.18208
2017-08-01,1.18109
2017-08-02,1.18514
2017-08-03,1.18822
2017-08-04,1.1773
2017-08-06,1.17769
2017-08-07,1.17995
2017-08-08,1.1754
2017-08-09,1.17631
2017-08-10,1.177
2017-08-11,1.18199
2017-08-13,1.18252
2017-08-14,1.17755
2017-08-15,1.17403
2017-08-16,1.17737
2017-08-17,1.17156
2017-08-18,1.17591
2017-08-20,1.17562
2017-08-21,1.18112
2017-08-22,1.17615
2017-08-23,1.18155
2017-08-24,1.17977
2017-08-25,1.19219
2017-08-27,1.19511
2017-08-28,1.19638
2017-08-29,1.19697
2017-08-30,1.18906
2017-08-31,1.19092
2017-09-01,1.18597
2017-09-03,1.18818
2017-09-04,1.18928
2017-09-05,1.19236
2017-09-06,1.19264
2017-09-07,1.20278
2017-09-08,1.20347
2017-09-10,1.20169
2017-09-11,1.19577
2017-09-12,1.19711
2017-09-13,1.18879
2017-09-14,1.1921
2017-09-15,1.19447
2017-09-17,1.19378
2017-09-18,1.196
2017-09-19,1.19925
2017-09-20,1.18743
2017-09-21,1.19447
2017-09-22,1.19466
2017-09-24,1.19267
2017-09-25,1.18555
2017-09-26,1.17838
2017-09-27,1.17497
2017-09-28,1.17812
2017-09-29,1.18137
2017-10-01,1.18079
2017-10-02,1.17315
2017-10-03,1.17477
2017-10-04,1.17566
2017-10-05,1.17138
2017-10-06,1.17299
2017-10-08,1.17424
2017-10-09,1.1741
2017-10-10,1.18134
2017-10-11,1.18641
2017-10-12,1.18309
2017-10-13,1.18191
2017-10-15,1.18145
2017-10-16,1.17945
2017-10-17,1.17711
2017-10-18,1.17942
2017-10-19,1.18484
2017-10-20,1.17817
2017-10-22,1.17546
2017-10-23,1.17548
2017-10-24,1.176
2017-10-25,1.18195
2017-10-26,1.16377
2017-10-27,1.16083
2017-10-29,1.16056
2017-10-30,1.16512
2017-10-31,1.16518
2017-11-01,1.16282
2017-11-02,1.16586
2017-11-03,1.1606
2017-11-05,1.16147
2017-11-06,1.16113
2017-11-07,1.16008
2017-11-08,1.1595
2017-11-09,1.16462
2017-11-10,1.16638
2017-11-12,1.16609
2017-11-13,1.16646
2017-11-14,1.17906
2017-11-15,1.17826
2017-11-16,1.17781
2017-11-17,1.17879
2017-11-19,1.17344
2017-11-20,1.17371
2017-11-21,1.17416
2017-11-22,1.18146
2017-11-23,1.18503
2017-11-24,1.19286
2017-11-26,1.19274
2017-11-27,1.19041
2017-11-28,1.18491
2017-11-29,1.1852
2017-11-30,1.18979
2017-12-01,1.18942
2017-12-03,1.18565
2017-12-04,1.18676
2017-12-05,1.18304
2017-12-06,1.18039
2017-12-07,1.17725
2017-12-08,1.1772
2017-12-10,1.17675
2017-12-11,1.17762
2017-12-12,1.17422
2017-12-13,1.18361
2017-12-14,1.17745
2017-12-15,1.17492
2017-12-17,1.17432
2017-12-18,1.17837
2017-12-19,1.18369
2017-12-20,1.18776
2017-12-21,1.18521
2017-12-22,1.18607
2017-12-24,1.18505
2017-12-25,1.1871
2017-12-26,1.18571
2017-12-27,1.19002
2017-12-28,1.19394
2017-12-29,1.19985
2018-01-01,1.20106
2018-01-02,1.20614
2018-01-03,1.20107
2018-01-04,1.20664
2018-01-05,1.20304
2018-01-07,1.2037
2018-01-08,1.19698
2018-01-09,1.19284
2018-01-10,1.19558
2018-01-11,1.20427
2018-01-12,1.21993
2018-01-14,1.21919
2018-01-15,1.22665
2018-01-16,1.22707
2018-01-17,1.21802
2018-01-18,1.2234
2018-01-19,1.22145
2018-01-21,1.2256
2018-01-22,1.22562
2018-01-23,1.23086
2018-01-24,1.23923
2018-01-25,1.23914
2018-01-26,1.24283
2018-01-28,1.24312
2018-01-29,1.23809
2018-01-30,1.24084
2018-01-31,1.24168
2018-02-01,1.25105
2018-02-02,1.24559
2018-02-04,1.24462
2018-02-05,1.23666
2018-02-06,1.23803
2018-02-07,1.227
2018-02-08,1.22606
2018-02-09,1.2251
2018-02-11,1.22522
2018-02-12,1.23004
2018-02-13,1.23536
2018-02-14,1.24681
2018-02-15,1.25027
2018-02-16,1.24041
2018-02-18,1.24117
2018-02-19,1.24002
2018-02-20,1.23353
2018-02-21,1.22804
2018-02-22,1.23256
2018-02-23,1.22937
2018-02-25,1.22883
2018-02-26,1.23149
2018-02-27,1.22259
2018-02-28,1.21915
2018-03-01,1.2271
2018-03-02,1.23186
2018-03-04,1.23176
2018-03-05,1.23365
2018-03-06,1.24155
2018-03-07,1.24122
2018-03-08,1.23067
2018-03-09,1.23041
2018-03-11,1.23084
2018-03-12,1.23384
2018-03-13,1.23928
2018-03-14,1.23747
2018-03-15,1.23062
2018-03-16,1.22889
2018-03-18,1.22807
2018-03-19,1.23365
2018-03-20,1.22482
2018-03-21,1.23463
2018-03-22,1.23239
2018-03-23,1.23522
2018-03-25,1.23541
2018-03-26,1.24572
2018-03-27,1.24087
2018-03-28,1.23125
2018-03-29,1.23018
2018-03-30,1.232
2018-04-01,1.23125
2018-04-02,1.22931
